n_guests,guest_number,count,probability_last,mean_number_passes
19,5,55993,0.055993,177.134463236476
19,6,55647,0.055647,186.4053947202904
19,7,55657,0.055657,191.27301148103564
19,8,55651,0.055651,195.51911016873012
19,9,55816,0.055816,197.9485452200086
19,10,55714,0.055714,197.52956169005995
19,11,55489,0.055489,195.44493503216853
19,12,55903,0.055903,192.54614242527234
19,13,55544,0.055544,185.36950885784242
19,14,55311,0.055311,176.8383323389561
19,15,55112,0.055112,167.10750834663958
19,16,55222,0.055222,154.84446416283365
19,17,55346,0.055346,141.89478914465363
19,18,55934,0.055934,125.9567883577073
20,1,52720,0.05272,139.09814112291352
20,2,52447,0.052447,155.2651247926478
20,3,52355,0.052355,171.16877089103238
20,4,52848,0.052848,184.1243188010899
20,5,52356,0.052356,194.42428756971503
20,6,52519,0.052519,203.57455397094384
20,7,52835,0.052835,211.690981357055
20,8,52785,0.052785,216.22021407596856
20,9,52687,0.052687,218.9765407026401
20,10,52729,0.052729,219.17658214644692
20,11,52747,0.052747,218.81424535992568
20,12,52957,0.052957,216.12062616840078
20,13,52916,0.052916,210.66274850706782
20,14,52486,0.052486,203.97424074991426
20,15,52538,0.052538,194.53329018995774
20,16,52442,0.052442,183.68231570115557
20,17,52388,0.052388,170.43605405818127
20,18,52335,0.052335,155.33960064966084
20,19,52910,0.05291,139.21353241353242
