,n_guests,guest_number,count,probability_last_sim,mean_number_passes_sim,probability_last_theory,mean_number_passes_theory,mean_number_passes_pct_error,probability_last_pct_error
143,18,8,59002,0.059002,175.7477373648351,0.058823529411764636,176.00000000000009,0.0014333104270737307,-0.0030340000000010914
144,18,9,58973,0.058973,176.56322384820172,0.058823529411764636,177.00000000000009,0.0024676618745670398,-0.0025410000000012367
145,18,10,59120,0.05912,176.4215155615697,0.058823529411764636,176.0,-0.0023949747816460754,-0.005040000000001266
146,18,11,58881,0.058881,173.28528727433297,0.058823529411764636,173.0,-0.0016490593892080074,-0.000977000000001338
147,18,12,58602,0.058602,167.97317497696324,0.05882352941176465,168.00000000000003,0.00015967275617134735,0.003765999999999048
148,18,13,58961,0.058961,160.4998388765455,0.05882352941176465,161.0,0.00310659082890985,-0.0023370000000009217
149,18,14,58027,0.058027,151.95608940665554,0.058823529411764636,152.00000000000003,0.00028888548252958834,0.013540999999998804
150,18,15,58598,0.058598,140.38458650465887,0.058823529411764636,141.00000000000003,0.004364634718731608,0.003833999999998894
151,18,16,58869,0.058869,127.82027892439145,0.05882352941176465,128.0,0.0014040709031918341,-0.0007730000000010229
152,18,17,58916,0.058916,113.1274017244891,0.05882352941176465,113.0,-0.0011274488892840662,-0.001572000000001017
153,19,1,55452,0.055452,125.15712688451273,0.05555555555555548,125.66666666666669,0.0040546932266892766,0.0018639999999986445
154,19,2,55681,0.055681,142.29446310231498,0.05555555555555548,141.66666666666669,-0.004431504251634966,-0.0022580000000014255
155,19,3,55365,0.055365,155.2098076402059,0.05555555555555548,155.66666666666666,0.0029348545597051023,0.003429999999998712
156,19,4,55163,0.055163,167.64169823976215,0.05555555555555548,167.66666666666669,0.00014891705907282837,0.0070659999999987955
157,19,5,55993,0.055993,177.134463236476,0.0555555555555555,177.66666666666663,0.0029955164926301903,-0.007874000000001047
158,19,6,55647,0.055647,186.4053947202904,0.0555555555555555,185.66666666666669,-0.003978786644292853,-0.0016460000000011465
159,19,7,55657,0.055657,191.27301148103564,0.05555555555555548,191.66666666666669,0.002053853142422901,-0.0018260000000012155
160,19,8,55651,0.055651,195.51911016873012,0.05555555555555548,195.66666666666669,0.0007541217952464763,-0.0017180000000012186
